"","INDINF_CPI_M","INDINF_LOWTARGET","INDINF_UPPTARGET","Volume","Monthly_Change","INDINF_CPI_COMMON_M","INDINF_CPI_MEDIAN_M","INDINF_CPI_TRIM_M"
"304",0.023,0.01,0.03,432458120000,-0.00488259106554512,0.019,0.019,0.019
"305",0.022,0.01,0.03,404433180000,0.0156566598591195,0.018,0.019,0.02
"306",0.022,0.01,0.03,452526020000,0.029062179898429,0.018,0.019,0.019
"307",0.025,0.01,0.03,443864010000,0.0134607723438034,0.019,0.019,0.02
"308",0.03,0.01,0.03,351402250000,0.0096020815672726,0.019,0.019,0.02
"309",0.028,0.01,0.03,436284020000,-0.010411318546915,0.019,0.02,0.021
"310",0.022,0.01,0.03,479755800000,-0.0116707830360343,0.019,0.019,0.02
"311",0.024,0.01,0.03,614088930000,-0.0650652226042582,0.018,0.019,0.02
"312",0.017,0.01,0.03,558099900000,0.0113460170631101,0.019,0.018,0.019
"313",0.02,0.01,0.03,524925670000,-0.0575675048510748,0.019,0.018,0.019
"314",0.014,0.01,0.03,521537910000,0.0850176420109128,0.018,0.018,0.019
"315",0.015,0.01,0.03,475399770000,0.0294969565224836,0.018,0.018,0.019
"316",0.019,0.01,0.03,566549460000,0.0064441283205201,0.018,0.019,0.022
"317",0.02,0.01,0.03,449916190000,0.0297228076848122,0.017,0.018,0.02
"318",0.024,0.01,0.03,475200850000,-0.0327609355809036,0.018,0.019,0.022
"319",0.02,0.01,0.03,422323160000,0.0214933870615743,0.018,0.018,0.02
"320",0.02,0.01,0.03,371216270000,0.00148938565696732,0.018,0.017,0.02
"321",0.019,0.01,0.03,410473970000,0.00216376341509106,0.018,0.017,0.019
